Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
392,Montreal,,8,30.95,7,1,,,,,,,,,,,
393,Montreal,,30,31.8,15,15,25,,,,,,,,,,
394,Montreal,,28,33.33,12,16,,,,,,,,,,,
395,Montreal,,3,24,,3,,,,,,,,,,,
396,Montreal,,82,20.27,33,49,,,,,,,,,,,
397,Montreal,,184,34,81,102,,,,,,,,,,,
398,Montreal,,15,24.9,5,10,,,,,,,,,,,
399,Montreal,,4,32,2,2,,,,,,,,,,,
400,Montreal,,10,65.9,,,,,,,,,,,,,
401,Montreal,,6,,4,2,,,,,,,,,,,
402,Montreal,38,38,21.1,,,,,,,,,,,,,
403,Montreal,,7,34,6,1,,,,,,,,,,,
404,Montreal,,2,36,1,1,,,,,,,,,,,
405,Montreal,,37,73.11,15,22,,,,,,,,,,,
406,Quebec City,,18,25.2,8,10,,,,,,,,,,,
407,Montreal,,25,22,16,9,,,,,,,,,,,
408,Montreal,,24,26.65,,,,,,,,,,,,,
409,Montreal,,71,,,5,,,,,,,,,,,
410,Montreal,,48,23,32,16,,,,,,,,,,,
411,Montreal,,83,29.5,44,39,,,,,,,,,,,
412,Montreal,,20,25.15,12,8,,,,,,,,,,,
413,Montreal,,87,19.95,35,52,,,,,,,,,,,
414,Montreal,,38,68.01,16,22,,,,,,,,,,,
415,Sherbrooke,,126,60.5,80,46,,,,,,,,,,,
416,Montreal,,38,,18,20,,,,,,,,,,,
417,Montreal,,9,,9,,,,,,,,,,,,
418,Montreal,,30,44,21,9,,,,,,,,,,,
419,Montreal,,7,> 0.5,,,,,,,,,,,,,
420,Montreal,,48,21.9,24,24,,,,,,,,,,,
421,Montreal,,12,27.6,9,3,,,,,,,,,,,
422,Montreal,,32,17.19,22,10,,,,,,,,,,,
423,Montreal,,26,61.1,16,10,,,,,,,,,,,
424,Montreal,,18,21.5,9,9,,,,,,,,,,,
425,Montreal,,24,,11,13,,,,,,,,,,,
426,Montreal,,6,28,4,2,,,,,,,,,,,
427,Montreal,,6,,3,3,,,,,,,,,,,
428,Montreal,,43,34.78,18,25,,,,,,,,,,,
429,Montreal,9,9,27,9,0,,,,,,,,,,,
430,Quebec City,,10,81,6,4,,,,,,,,,,,
431,Montreal,,26,42.2,8,18,,,,,,,,,,,
432,Montreal,,16,0.74,12,4,,,,,,,,,,,
433,Montreal,,70,52.3,33,37,,,,,,,,,,,
434,Montreal,29,29,28.3,15,14,,,,,,,,,,,
435,Montreal,,82,68,44,38,,,,,,,,,,,
436,Montreal,,135,20.2,57,78,,,,,,,,,,,
437,Montreal,,24,26.65,,,,,,,,,,,,,
438,Montreal,,66,27,29,37,,,,,,,,,,,
439,Quebec City,,23,65.6,9,3,,,,,,,,,,,
440,Montreal,,12,24,4,8,,,,,,,,,,,
441,Montreal,,12,30.5,7,5,,,,,,,,,,,
442,Montreal,,12,25.8,6,6,,,,,,,,,,,
443,Montreal,,89,40.05,38,51,,,,,,,,,,,
444,Montreal,,22,69.77,5,17,,,,,,,,,,,
445,Montreal,14,14,41,7,7,,,,,,,,,,,
446,Montreal,,28,23,28,,,,,,,,,,,,
447,Montreal,,37,66.19,19,18,,,,,,,,,,,
448,Montreal,,13,23.6,10,3,,,,,,,,,,,
449,Montreal,,2,24,,2,,,,,,,,,,,
450,Montreal,,56,48.7,,56,,,,,,,,,,,
451,Montreal,,30,,,,,,,,,,,,,,
452,Montreal,,100,35.1,45,55,,,,,,,,,,,
453,Montreal,,30,,11,19,,,,,,,,,,,
454,Montreal,,16,,2,14,,,,,,,,,,,
455,Sherbrooke,,20,36,4,16,,,,,,,,,,,
456,Quebec City,,90,33.68,56,34,,,,,,,,,,,
457,Montreal,,30,21.75,16,14,,,,,,,,,,,
458,Montreal,,31,74.13,,,,,,,,,,,,,
459,Montreal,,10,29,5,5,,,,,,,,,,,
460,Montreal,,86,31.16,42,44,,,,,,,,,,,
461,Montreal,,33,27.66,33,,,,,,,,,,,,
462,Montreal,,52,40.7,27,25,,,,,,,,,,,
463,Montreal,,8,66.5,4,4,,,,,,,,,,,
464,Montreal,50,50,46.8,25,25,,,,,,,,,,,
465,Montreal,,19,46.5,13,6,,,,,,,,,,,
466,Montreal,,31,29.24,,,,,,,,,,,,,
467,Sherbrooke,,39,36.6,8,31,,,,,,,,,,,
468,Montreal,,22,37.5,14,8,,,,,,,,,,,
469,Montreal,,19,,7,12,,,,,,,,,,,
470,Montreal,,40,,17,21,,,,,,,,,,,
471,Montreal,,57,24.91,31,26,,,,,,,,,,,
472,Montreal,,25,25.8,12,13,,,,,,,,,,,
473,Montreal,,59,18.5,30,29,57,,,,,,,,1,,1
474,Montreal,5,5,22,3,2,,,,,,,,,,,
475,Montreal,,94,75.95,,,,,,,,,,,,,
476,Montreal,,49,21.9,24,25,,,,,,,,,,,
